"","Title","URL","Description","Backers","Funding.Amount","Funding.Percent","Average.Pledge","Project.Start","Project.End","Time.Remaining"
"1","Console Mods and rockers themed open world video game","https://www.kickstarter.com/projects/23382946/console-mods-and-rockers-themed-open-world-video-g/?ref=kicktraq","Groundbreaking open world adventure set in 1960s London. funding needed to take it to the development stage. Thankyou","0","£0 of £30,000","0% funded","									",2015-12-16,2016-01-31,"0 days, 5 hours, 56 minutes"
"2","XenoShyft: Dreadmire","https://www.kickstarter.com/projects/coolminiornot/xenoshyft-dreadmire/?ref=kicktraq","Partner up with your friends to survive wave after wave of horrific aliens in this cooperative deck-building base-defense game!","4027","$345,563 of $30,000","1151% funded","$86",2016-01-12,2016-01-31,"0 days, 11 hours, 58 minutes"
"3","The Family Game: An Educational Board Game For Kids & Adults","https://www.kickstarter.com/projects/1857201114/the-family-game-an-educational-board-game-for-kids/?ref=kicktraq","The Family Game is an Exciting, Innovative and Educational new Board Game for all the Family to Enjoy Playing Together...","5","£72 of £25,000","0% funded","£14",2015-12-02,2016-01-31,"0 days, 13 hours, 14 minutes"
"4","H.P. Lovecraft:  Cthulhu Mythos Great Old Ones Idols","https://www.kickstarter.com/projects/rykarjove/hp-lovecraft-cthulhu-mythos-great-old-ones-idols/?ref=kicktraq","Tribute to H.P. Lovecraft - Cthulhu Mythos Bronze Metal Great Old Ones Idols and miniatures for RPG and Collecting","167","€15,260 of €500","3052% funded","€91",2015-12-02,2016-01-31,"0 days, 14 hours, 15 minutes"
"5","GOB'Z'HEROES - The Game","https://www.kickstarter.com/projects/antonioooh/gobzheroes-the-game/?ref=kicktraq","A Board Game clash where Gob'z try to be heroes... ...everything is allowed, including the most ludicrous attacks...!!","541","€66,418 of €30,000","221% funded","€123",2016-01-05,2016-01-31,"0 days, 14 hours, 57 minutes"
"6","The Cruellest Mistress Of All. An adventure for d20 systems","https://www.kickstarter.com/projects/1839381666/the-cruellest-mistress-of-all-an-adventure-for-d20/?ref=kicktraq","The Cruellest Mistress Of All is an adventure module for 5th edition fantasy roleplaying game, Pathfinder and OSR . For 4th level PCs.","152","£1,849 of £800","231% funded","£12",2015-12-26,2016-01-31,"0 days, 15 hours, 58 minutes"
"7","The Game of Dares","https://www.kickstarter.com/projects/1696683100/the-game-of-dares/?ref=kicktraq","The Childhood classic of truth or dare, but with a twist. To win, you need to press onward through the dares to reach the finish line!","5","$290 of $15,000","1% funded","$58",2015-12-02,2016-01-31,"0 days, 16 hours, 46 minutes"
"8","Ultimate NPCs: Skulduggery for 5e, Pathfinder and S&W!","https://www.kickstarter.com/projects/nordgames/ultimate-npcs-skulduggery-for-5e-pathfinder-and-sa/?ref=kicktraq","200+ pages of excellent NPCs and pre-built characters at level 1, 4, 8, 12, 16, and 20. Stat blocks, role playing cues, items and more!","1153","$51,877 of $10,000","518% funded","$45",2016-01-01,2016-02-01,"0 days, 20 hours, 58 minutes"
"9","The Dice Tower - 2016 (Season 12)","https://www.kickstarter.com/projects/tomvasel/the-dice-tower-2016-season-12/?ref=kicktraq","The Dice Tower enters its twelfth season. We are raising funds to keep it going, making it better in every way!","4345","$257,526 of $120,000","214% funded","$59",2016-01-04,2016-02-01,"0 days, 20 hours, 58 minutes"
"10","Fantasy Forest II (props for table top RPG's)","https://www.kickstarter.com/projects/worldswithin/fantasy-forest-ii-props-for-table-top-rpgs/?ref=kicktraq","3-D pop-up tree model for table-top RPG and strategy games. Pre-assembled, ready to use. Ilustrated by Alyce Mark.","30","$1,450 of $35","4142% funded","$48",2016-01-22,2016-02-01,"0 days, 20 hours, 59 minutes"
"11","SuperPower SmackDown! Dice Game","https://www.kickstarter.com/projects/lestersmith/superpower-smackdown-dice-game/?ref=kicktraq","A rollicking, superpowered battle dice game for two or more players!","50","$1,836 of $25,000","7% funded","$37",2015-12-17,2016-02-01,"0 days, 21 hours, 57 minutes"
"12","GLOBAL COLLAPSE","https://www.kickstarter.com/projects/1867129528/global-collapse/?ref=kicktraq","1 to 5 Player Tabletop Boardgame to Save the World!","99","$1,529 of $1,000","152% funded","$15",2015-12-21,2016-02-01,"0 days, 23 hours, 57 minutes"
