"","Title","URL","Description","Backers","Funding.Amount","Funding.Percent","Average.Pledge","Project.Start","Project.End","Time.Remaining"
"1","For Cryin' Out Loud! - Board Game","https://www.kickstarter.com/projects/1490765482/for-cryin-out-loud-board-game/?ref=kicktraq","A creative game of luck, strategy, and socializing, ""For Cryin' Out Loud!"" has players reminiscing common misfortunes.","1","$50 of $2,000","2% funded","																		",2016-01-30,2016-02-29,"29 days, 15 hours, 46 minutes"
"2","Resineer-15mm Size Hex Tile Terrain","https://www.kickstarter.com/projects/5154721/resineer-15mm-size-hex-tile-terrain/?ref=kicktraq","15mm scale hex tiles for epic battles in small spaces!","1","$112 of $3,500","3% funded","																		",2016-01-30,2016-02-29,"28 days, 23 hours, 31 minutes"
"3","Cthulhu: A Deck Building Game","https://www.kickstarter.com/projects/wyvrengaming/cthulhu-a-deck-building-game/?ref=kicktraq","A cooperative deck building game set in a Cthulhu world. Do you and your fellow investigators have what it takes to save everything?","80","$5,761 of $19,200","30% funded","$72",2016-01-30,2016-03-06,"34 days, 23 hours, 53 minutes"
"4","AssassinCon 3-6 Player Hidden Assassin Game","https://www.kickstarter.com/projects/maydaygames/assassincon-3-6-player-hidden-assassin-game/?ref=kicktraq","AssassinCon is a simultaneous strategy game for 3-6 players. Deduce who is hunting you while covertly taking out your target to win!","249","$8,228 of $6,000","137% funded","$33",2016-01-30,2016-02-29,"28 days, 20 hours, 56 minutes"
"5","Penalty Box - Morally Corrupt Beer Pong","https://www.kickstarter.com/projects/penaltybox/penalty-box-morally-corrupt-beer-pong/?ref=kicktraq","A game for those who want to take Beer Pong to the next level, indulge in some mischief and push themselves to the limit. Dare to play?","20","$2,741 of $29,000","9% funded","$137",2016-01-29,2016-03-29,"58 days, 16 hours, 17 minutes"
"6","Circle of Death","https://www.kickstarter.com/projects/770999943/circle-of-death/?ref=kicktraq","A social drinking game for those who want to...drink socially.","0","$0 of $3,500","0% funded","									",2016-01-29,2016-03-14,"43 days, 15 hours, 34 minutes"
"7","Pub Battles:  Brandywine  -Washington's Last Surprise","https://www.kickstarter.com/projects/1743441977/pub-battles-brandywine-washingtons-last-surprise/?ref=kicktraq","Players battle for control of Philadelphia in this simple, fast, accurate and tense game of the American Revolution!","14","$1,747 of $2,000","87% funded","$125",2016-01-29,2016-02-28,"28 days, 13 hours, 32 minutes"
"8","High School War Class World Diplomacy Game","https://www.kickstarter.com/projects/368157795/high-school-war-class-world-diplomacy-game/?ref=kicktraq","This is a game that takes 80 High School students and changes their outlook in terms of Global Conflicts and diplomacy!!","6","$122 of $1,000","12% funded","$20",2016-01-29,2016-02-28,"28 days, 13 hours, 22 minutes"
"9","Gods of Tortuga","https://www.kickstarter.com/projects/worldofcy/gods-of-tortuga-0/?ref=kicktraq","An epic multiplayer strategy game of war set in a fantasy world of Gods & Kings. Conquer lands, build cities and use the power of gods.","116","$8,107 of $69,000","11% funded","$70",2016-01-29,2016-02-28,"28 days, 12 hours, 24 minutes"
"10","Girls Gone Rogue","https://www.kickstarter.com/projects/1575519826/girls-gone-rogue/?ref=kicktraq","Scenarios in the sleazy space slums of the 1970's, specifically designed for Alpha Blue, but suitable for any sci-fi RPG.","55","$1,500 of $1,000","150% funded","$27",2016-01-29,2016-02-28,"28 days, 12 hours, 7 minutes"
"11","SHADOW AGENT - diceless game of agent v. villain mastermind","https://www.kickstarter.com/projects/pocketoptiongames/shadow-agent-diceless-game-of-agent-v-villain-mast/?ref=kicktraq","AGENT: Infiltrate the lair, evade capture, find the control room, stop the doomsday device. VILLAIN: capture the agent, rule the world.","414","$2,666 of $900","296% funded","$6",2016-01-29,2016-03-01,"29 days, 21 hours, 54 minutes"
"12","Reign of Man - Indie Strategy Board Game","https://www.kickstarter.com/projects/wickedgringames/reign-of-man-indie-strategy-board-game/?ref=kicktraq","Fast-paced tabletop game of warring emperors!","75","$1,977 of $6,000","32% funded","$26",2016-01-29,2016-02-21,"21 days, 9 hours, 0 minutes"
"13","Cosmic Cthulhu Talking Board","https://www.kickstarter.com/projects/cakebatter/cosmic-cthulhu-talking-board/?ref=kicktraq","Seeking creative inspiration from the annals of Babylon.","0","$0 of $52","0% funded","									",2016-01-29,2016-02-28,"28 days, 1 hours, 20 minutes"
"14","Vinhos Deluxe Edition: Like fine wine, age has improved it!","https://www.kickstarter.com/projects/167427101/vinhos-deluxe-edition-like-fine-wine-age-has-impro/?ref=kicktraq","Buy vineyards; build wineries; develop, produce and sell fine wines. Two games in one box by all-star Portugese designer Vital Lacerda!","995","$112,428 of $30,000","374% funded","$113",2016-01-29,2016-02-24,"24 days, 19 hours, 11 minutes"
"15","Moviebomb Game","https://www.kickstarter.com/projects/1574893206/moviebomb-game/?ref=kicktraq","Welcome to Moviebomb Game, the card game that tests your trivia knowledge of movies and pop culture!","11","$225 of $31,000","0% funded","$20",2016-01-28,2016-03-02,"30 days, 22 hours, 53 minutes"
"16","Tabletop RPG Building Maps/Floorplans","https://www.kickstarter.com/projects/1592014779/tabletop-rpg-building-maps-floorplans-0/?ref=kicktraq","25mm-32mm scale maps for use with tabletop Rpgs and skirmish war games.","10","$461 of $50","922% funded","$46",2016-01-28,2016-02-14,"13 days, 23 hours, 53 minutes"
"17","B Sharp, the Music Board Game","https://www.kickstarter.com/projects/bsharpgame/b-sharp-the-music-board-game/?ref=kicktraq","B Sharp, a new and unique board game to improve your music reading skills while having fun with friends and family!","49","$3,351 of $40,000","8% funded","$68 CAD",2016-01-28,2016-02-27,"27 days, 13 hours, 20 minutes"
"18","Tabletop Tyrant Miniature Wargaming Storage / Model Case","https://www.kickstarter.com/projects/1456006192/tabletop-tyrant-miniature-wargaming-storage-model/?ref=kicktraq","The case is made from the best material; heavy duty double walled corrugated card. Your selection of storage foam included.","85","£2,785 of £1,000","278% funded","£33",2016-01-28,2016-02-27,"27 days, 13 hours, 14 minutes"
"19","What happened to Bendrick?","https://www.kickstarter.com/projects/1384982942/what-happened-to-bendrick/?ref=kicktraq","A quirky and strategic story line game.","38","kr10,690 of kr220,000","4% funded","kr281 DKK",2016-01-28,2016-03-01,"30 days, 12 hours, 12 minutes"
"20","Real 3D Fantasy Scenery to print for RPG and Wargames","https://www.kickstarter.com/projects/vialudibunda/real-3d-fantasy-scenery-to-print-for-rpg-and-warga/?ref=kicktraq","Build the gaming table you always dreamed of by 3D Printing a complete fantasy village without breaking the bank !","29","€1,336 of €500","267% funded","€46",2016-01-28,2016-02-27,"27 days, 12 hours, 53 minutes"
"21","The Bermuda Crisis: explore, conspire, build, & trade","https://www.kickstarter.com/projects/497772577/the-bermuda-crisis-explore-conspire-build-and-trad/?ref=kicktraq","A game where players solve the mysteries of the Bermuda Triangle through secret missions, bartering, magic, and skill development.","33","$2,045 of $9,000","22% funded","$62",2016-01-28,2016-02-26,"26 days, 10 hours, 55 minutes"
"22","Pugmire Fantasy Tabletop RPG","https://www.kickstarter.com/projects/200664283/pugmire-fantasy-tabletop-rpg/?ref=kicktraq","Contribute to help us create a beautifully illustrated, traditionally printed version of Pugmire for sale in stores.","1303","$82,708 of $15,000","551% funded","$63",2016-01-28,2016-03-08,"37 days, 8 hours, 53 minutes"
"23","Metal 3D Star Wars X-Wing Tokens","https://www.kickstarter.com/projects/732415737/metal-3d-star-wars-x-wing-tokens/?ref=kicktraq","Daft Concepts is going metal. We want to buy a Spincaster to start offering clients 3D tokens and miniatures. Help us make it happen.","14","$418 of $5,500","7% funded","$30",2016-01-28,2016-03-08,"36 days, 20 hours, 53 minutes"
"24","Mysteries of the Yōkai: An RPG Inspired by Japanese Folklore","https://www.kickstarter.com/projects/warding-circle/mysteries-of-the-yokai-an-rpg-inspired-by-japanese/?ref=kicktraq","Investigate strange occurrences across ancient Japan and bring harmony to an era of spirits and samurai in this all new tabletop RPG","46","$1,607 of $5,000","32% funded","$35",2016-01-28,2016-02-28,"28 days, 7 hours, 48 minutes"
"25","Heartcatchers","https://www.kickstarter.com/projects/2068026266/heartcatchers/?ref=kicktraq","Heartcatchers is an adorable two-player game of deception and secrets.","71","$1,456 of $5,000","29% funded","$21",2016-01-28,2016-02-27,"27 days, 6 hours, 23 minutes"
"26","Mutant: Genlab Alpha","https://www.kickstarter.com/projects/1192053011/mutant-genlab-alpha/?ref=kicktraq","Genlab Alpha is a stand-alone expansion to the award-winning Mutant Year Zero RPG. Get ready for the furry mutant (r)evolution!","442","kr332,149 of kr50,000","664% funded","kr751 SEK",2016-01-28,2016-03-04,"33 days, 6 hours, 53 minutes"
"27","Nightmare Forest: Dead Run","https://www.kickstarter.com/projects/bravefrontierstudios/nightmare-forest-dead-run/?ref=kicktraq","Run for your life to escape a forest overrun with the furry undead in this classic side-scroller board game mashup.","163","$6,038 of $7,900","76% funded","$37",2016-01-28,2016-02-29,"29 days, 18 hours, 53 minutes"
"28","Florida Saltwater Tournament Fishing  ""IT'S A GAME""!","https://www.kickstarter.com/projects/731245644/florida-saltwater-tournament-fishing-its-a-game/?ref=kicktraq","Florida Saltwater Tournament Fishing is a new concept Board Game, It's the next best thing to a real Fishing Trip. ""IT'S A GAME""","2","$100 of $20,000","0% funded","$50",2016-01-28,2016-03-08,"36 days, 21 hours, 30 minutes"
"29","SubF-X Gaming Mats - Compatible with Guild Ball","https://www.kickstarter.com/projects/987582441/subf-x-gaming-mats-compatible-with-guild-ball/?ref=kicktraq","After the positive Kickstarter and feedback received from my SubF-X gaming mats, I've returned with new designs!","17","£444 of £200","222% funded","£26",2016-01-27,2016-02-21,"21 days, 12 hours, 6 minutes"
"30","Warp Drive","https://www.kickstarter.com/projects/1582948535/warp-drive/?ref=kicktraq","WarpDrive is a 2-8 player strategy game: In order to evade impending doom, robots must fight over limited fuel using any means possible","1","$61 of $15,000","0% funded","																		",2016-01-27,2016-02-26,"26 days, 10 hours, 4 minutes"
"31","Zerpang!","https://www.kickstarter.com/projects/thegamecrafter/zerpang/?ref=kicktraq","An epic battle for survival between Zombies, Elves, Robots, Pirates, Aliens, Ninjas, and Gunslingers!","91","$4,143 of $36,000","11% funded","$46",2016-01-27,2016-02-26,"26 days, 9 hours, 17 minutes"
"32","Polyversal 6mm Miniatures Game System","https://www.kickstarter.com/projects/cewargames/polyversal-6mm-miniatures-game-system/?ref=kicktraq","6mm Sci-Fi Mass Combat Miniatures Game System Compatible with All 6mm Miniatures.","137","$16,977 of $80,000","21% funded","$124",2016-01-27,2016-03-27,"56 days, 8 hours, 4 minutes"
"33","Ultimate Scheme: A Boardgame for Evil Geniuses","https://www.kickstarter.com/projects/sasquatchgamestudio/ultimate-scheme-a-boardgame-for-evil-geniuses/?ref=kicktraq","Ultimate Scheme is a boardgame with a not-too-terribly serious theme of evil geniuses, mastermind villains, and world domination!","81","$7,422 of $30,000","24% funded","$92",2016-01-27,2016-02-26,"25 days, 20 hours, 53 minutes"
"34","Province Deluxe","https://www.kickstarter.com/projects/laboratory/province-deluxe/?ref=kicktraq","Manage a communal pool of workers to get the resources you need to get ahead. A fun, 2-player twist on resource management games.","441","$11,560 of $28,888","40% funded","$26",2016-01-27,2016-02-26,"26 days, 16 hours, 53 minutes"
"35","Circle of Chaos: Oldhammer metal miniatures for your warband","https://www.kickstarter.com/projects/179741323/circle-of-chaos-oldhammer-metal-miniatures-for-you/?ref=kicktraq","Behold! Oldhammer 28mm miniature minions of chaos, cast in high quality metal and ready to cause some serious mayhem on the tabletop.","58","£1,315 of £450","292% funded","£23",2016-01-27,2016-02-16,"16 days, 12 hours, 25 minutes"
"36","Gato Leader & U-Boat Leader","https://www.kickstarter.com/projects/dvgames/gato-leader-and-u-boat-leader/?ref=kicktraq","DVG is proud to present 2 great WWII solitaire submarine warfare games! You can pledge for one or both games!","95","$11,676 of $18,000","64% funded","$123",2016-01-26,2016-02-25,"25 days, 15 hours, 58 minutes"
"37","Ghostel: The Board Game","https://www.kickstarter.com/projects/catlab/ghostel-the-board-game/?ref=kicktraq","Guests, Ghosts & Ghastly Hosts! Scare away hotel guests by turning into their worst nightmare. A 60 min, 2-4 player dice placement game","245","£8,393 of £17,850","47% funded","£34",2016-01-26,2016-02-25,"25 days, 14 hours, 55 minutes"
"38","Starguild: Space Opera Noir tabletop RPG","https://www.kickstarter.com/projects/1283988566/starguild-space-opera-noir-tabletop-rpg/?ref=kicktraq","In space, nobody can hear you scheme...","81","£2,459 of £3,000","81% funded","£30",2016-01-26,2016-02-25,"25 days, 13 hours, 53 minutes"
"39","Magnetic War Mats Wave 2","https://www.kickstarter.com/projects/gamersdoor/magnetic-war-mats-wave-2/?ref=kicktraq","Fix the Slip!","31","$2,596 of $10,000","25% funded","$84",2016-01-26,2016-02-25,"25 days, 10 hours, 54 minutes"
"40","The Folio #7 Deadlands Edition","https://www.kickstarter.com/projects/563681582/the-folio-7-deadlands-edition/?ref=kicktraq","OSR inspired adventure module in the style of classic TSR modules spun in the Savage Worlds: Deadlands Hell on Earth Universe.","110","$2,971 of $5,000","59% funded","$27",2016-01-26,2016-02-10,"10 days, 10 hours, 52 minutes"
