"","Title","Description","Backers","Funding.Status","Project.Start","Project.End","Time.Remaining"
"1","Magination - How does it work?","Remember those magnet gifs? This is where you get it! Magination is a magnetic, experimental and creative game akin to a deck of cards!","950","kr673,998 of kr85,000 (792% funded)",2015-11-19,2015-12-18,"0 days, 1 hours, 21 minutes"
"2","Wongamania: Banana Economy - Tabletop Game from Singapore","Wealth and fortune await in this 30 mins, 2-5 player boardgame of economic manipulation and financial monsters of mass destruction.","345","$14,533 of $10,000 (145% funded)",2015-11-19,2015-12-18,"0 days, 4 hours, 42 minutes"
"3","Heroes of Normandie, strategic resupply","After two years of war, we proudly present you the HoN Resupply KS campaign.\nComplete Compendium, storage solution, surprise and more!","1847","€190,427 of €40,000 (476% funded)",2015-11-24,2015-12-18,"0 days, 7 hours, 43 minutes"
"4","Cthulhu Idol Commemorative ed. and playing cards","The commemorative sculpture for the 125 anniversary with a extended print of ""The Writer"" Lovecraft playing cards game.","74","€6,144 of €1,200 (512% funded)",2015-12-01,2015-12-18,"0 days, 7 hours, 43 minutes"
"5","Goth-Tech Expansions Bases And Accessories","Goth-Tech Expansions is an expansion set of bases for my popular 28 mm beveled edge and round lip Goth-Tech miniature base lines.","32","$2,144 of $1,000 (214% funded)",2015-11-27,2015-12-18,"0 days, 10 hours, 43 minutes"
"6","Hogswallow: a card game of Mythic Storytelling","Tap your imagination to create incredible tales! Competitive, collaborative, easy to learn, infinitely re-playable, and tons of fun!","124","$5,477 of $4,750 (115% funded)",2015-11-17,2015-12-18,"0 days, 17 hours, 42 minutes"
"7","Pen n People Gaming","We are opening a place for people to come in and game, buy games, and hang out in Sault Ste. Marie Michigan.","1","$1 of $5,000 (0% funded)",2015-11-19,2015-12-19,"1 days, 6 hours, 16 minutes"
"8","[sic]titious - A Novel Word Game","The Party Game that presents a new outrageous side to the English language. And all the [sic] words out there waiting to be defined.","68","$7,859 of $10,000 (78% funded)",2015-11-19,2015-12-19,"1 days, 7 hours, 47 minutes"
"9","A Heroes Tale, 3-D board game with 28mm miniature terrain.","Game Junkie Studios & Iron Wind Metals/Ral Partha brings you a great fantasy miniature board game designed for 2-5 players!","11","$2,279 of $5,500 (41% funded)",2015-11-21,2015-12-19,"1 days, 8 hours, 51 minutes"
"10","EndQuotes","A game for literate degenerates. Mash up epic quotes! 3-8 players. Ages 18+.","61","$3,301 of $4,000 (82% funded)",2015-11-19,2015-12-19,"1 days, 8 hours, 56 minutes"
"11","Beer Roulette Brew-lette","Beer drinking roulette game that lets you chose who drinks or get chosen by the wheel.  Learn about the game, stay sharp and have fun.","0","$0 of $60,000 (0% funded)",2015-11-19,2015-12-19,"1 days, 14 hours, 5 minutes"
"12","Even Rougher (Rough: The Card Game Expansion)","The long awaited 50 card expansion for Rough: The Card Game, Even Rougher is not for the faint of heart!","31","$810 of $2,000 (40% funded)",2015-11-20,2015-12-20,"2 days, 6 hours, 42 minutes"
"13","With All Due Respect: The Party Game","With All Due Respect is a new light-hearted game about what you and your friends really think of each other!","10","$243 of $1,000 (24% funded)",2015-11-20,2015-12-20,"2 days, 6 hours, 44 minutes"
"14","Mindjammer - The Roleplaying Game","Transhuman Science-Fiction Roleplaying in the Universe of the Far Future!","731","£29,711 of £5,000 (594% funded)",2015-11-17,2015-12-20,"2 days, 7 hours, 43 minutes"
"15","The Game Doctors' Board Game Inserts","Custom board game inserts for quick setup, component protection and well-arranged storage. Made in Germany.","340","€15,726 of €7,000 (224% funded)",2015-11-22,2015-12-20,"2 days, 7 hours, 43 minutes"
"16","Askrias Cube - Game Aid Dice 2nd","A die which allows you to customize the sides to what you need for the game you are playing - The simple yet perfect gaming aid.","41","$1,064 of $500 (212% funded)",2015-11-30,2015-12-20,"2 days, 7 hours, 46 minutes"
"17","Kensei Undead","28mm miniatures. This is a new crowdfunding for the game Kensei. We will develop a complete undead samurai army.","232","€39,728 of €15,000 (264% funded)",2015-11-27,2015-12-20,"2 days, 8 hours, 43 minutes"
"18","Rolljordan Tengu Goblin / Ogre Fantasy Football Team","Get the most characteristic Goblin or Ogre Fantasy Football Team. All high quality 28mm metal and resin miniatures.","58","€6,414 of €4,000 (160% funded)",2015-11-20,2015-12-20,"2 days, 9 hours, 13 minutes"
"19","Artist's Inspiration Wheel","A decision wheel art challenge that presents player(s) with a theme, color, style and effect to inspire the creation of works of art.","1","$25 of $5,500 (0% funded)",2015-11-20,2015-12-20,"2 days, 12 hours, 6 minutes"
"20","Maps 3","25mm scale maps of building floor plans for use in tabletop RPGs.","6","$90 of $50 (180% funded)",2015-12-07,2015-12-20,"2 days, 16 hours, 43 minutes"
"21","Game Over Remix","It's dangerous to go alone, so grab some friends and get ready for Battle Mode in this card game inspired by decades of classic gaming!","121","$4,866 of $8,250 (58% funded)",2015-11-06,2015-12-21,"3 days, 2 hours, 19 minutes"
"22","Rockwell: The Fluctuating Market","Enhance Rockwell with a market whose values fluctuate. Buying & selling at the right moment is the key to the game for hardcore gamers!","182","€5,405 of €1,500 (360% funded)",2015-12-01,2015-12-21,"3 days, 3 hours, 21 minutes"
"23","Spinal Column Miniatures","Highly detailed 32mm miniatures from the Wasteland Abominations range from Spinal Column Games.","46","$1,435 of $1,250 (114% funded)",2015-11-24,2015-12-21,"3 days, 8 hours, 19 minutes"
"24","Metal Coins Designed for the Talisman Board Game","If you enjoy playing the Talisman board game and want something good looking to upgrade your game's content, here you go!","13","€530 of €999 (53% funded)",2015-11-12,2015-12-21,"3 days, 8 hours, 40 minutes"
"25","No Hope City - A Co-Op Survival Card Game (1-8 Players)","Help was promised months ago. Now you and your friends must do what you can to survive and if you are lucky, maybe help will arrive.","88","$5,919 of $9,000 (65% funded)",2015-11-19,2015-12-21,"3 days, 9 hours, 51 minutes"
"26","Drink! - A house party drinking game","Drink! is a card game about hanging out with friends. All you need is our game, good company, and a refreshing beverage.","89","$5,790 of $7,500 (77% funded)",2015-11-21,2015-12-21,"3 days, 12 hours, 10 minutes"
"27","RuneQuest: Classic Edition","Bringing the iconic RuneQuest 2nd edition rulebook back into print to kick-off the 50th Anniversary of Glorantha celebrations in 2016.","1646","$147,109 of $30,000 (490% funded)",2015-11-27,2015-12-21,"3 days, 12 hours, 43 minutes"
"28","FLIP DICE - Family Game Night... Reimagined","Dust off Monopoly, Yahtzee and more. Flip Dice will bring strategy to all your classic games. Take back family game night!","97","$4,527 of $4,000 (113% funded)",2015-11-22,2015-12-21,"3 days, 17 hours, 34 minutes"
"29","Normandy photo-realistic 28mm terrain","28mm scale model Normandy buildings for World War Two (WW2) miniatures gaming with photo-realistic cover sheets for a realistic finish.","34","£3,548 of £4,000 (88% funded)",2015-10-23,2015-12-22,"3 days, 19 hours, 28 minutes"
"30","Imperial Skies Wargame","A wargame rule book for playing aerial combat using lighter than air ships in a fictional alternative World War I setting.","132","£5,555 of £3,500 (158% funded)",2015-11-22,2015-12-22,"4 days, 0 hours, 15 minutes"
"31","Cubble Dice","Cubble Dice - Awesome Dice, No Compromise","490","€10,461 of €5,000 (209% funded)",2015-11-17,2015-12-22,"4 days, 2 hours, 32 minutes"
"32","Dilemma","Dilemma is a quiz-like educational board game for 3-5 players, and a fun way to learn about sustainable development dilemmas.","14","kr3,510 of kr100,000 (3% funded)",2015-11-23,2015-12-23,"4 days, 21 hours, 31 minutes"
"33","Bribery: A Game of Money and Chance","Bribery is a fast-paced money/card survival game.\nIt's a fun, easy-to-learn strategic game. You'll get big excitement Little clean up.","12","$533 of $2,750 (19% funded)",2015-11-23,2015-12-23,"4 days, 23 hours, 38 minutes"
"34","d20 Cards","Hexagon cards that are numbered 1 thru 20 for those extra special rolls and high drama in d20 games.","4","$48 of $100 (48% funded)",2015-12-13,2015-12-23,"5 days, 3 hours, 0 minutes"
"35","Secret Hitler","A social deduction game for 5-10 players about finding and stopping the Secret Hitler.","20679","$752,055 of $54,450 (1381% funded)",2015-11-23,2015-12-23,"5 days, 8 hours, 34 minutes"
"36","Jewels","Challenge your rivals for outright dominance. You will become the undisputed richest merchant in Marylia!","135","£5,807 of £7,000 (82% funded)",2015-11-23,2015-12-23,"5 days, 9 hours, 23 minutes"
"37","Le-Glue® - The Water Soluble Adhesive for Lego® blocks","Le-Glue® is the only safe way to temporarily Glue your Lego® and other blocks together without causing damage. It's Non-Toxic and fun.","50","$1,979 of $3,000 (65% funded)",2015-12-03,2015-12-23,"5 days, 10 hours, 13 minutes"
"38","Fantasy Fantasy Baseball","In Fantasy Fantasy Baseball, you are the Wizard manager of a team of fantasy creatures battling through a season of fantasy baseball.","306","$12,831 of $7,500 (171% funded)",2015-11-25,2015-12-23,"5 days, 17 hours, 42 minutes"
"39","Farkle Plus","A fun and engaging game that combines the strategic play of a card game with the excitement of a classic dice game.","13","$395 of $10,000 (3% funded)",2015-11-24,2015-12-24,"5 days, 20 hours, 5 minutes"
"40","War & Empire II .....Legions of Rome","Raise the Eagles and prepare for war!  \n\nJoin us for ""Legions of Rome"" Phase II of War & Empire - 15mm Ancients game and miniatures!","239","£29,859 of £10,000 (298% funded)",2015-11-28,2015-12-24,"6 days, 0 hours, 41 minutes"
"41","Magic Missile Dice d4+1","Looking for the pefect gift for your best wizard? Magic Missile Dice.\nd4s numbered 2 through 5 :)","227","$7,280 of $2,000 (364% funded)",2015-11-24,2015-12-24,"6 days, 6 hours, 44 minutes"
"42","Board game CARGOMASTER","The game CARGOMASTER is a thrilling and strategic table game, which is fun to play among friends as well as among family members.","8","€195 of €4,000 (4% funded)",2015-11-25,2015-12-25,"6 days, 18 hours, 12 minutes"
"43","Bay Area Regional Planner","Solve San Francisco's housing crisis in this accurate & exciting simulation.  Where will you zone for more homes?","141","$8,375 of $500 (1675% funded)",2015-12-06,2015-12-25,"6 days, 19 hours, 43 minutes"
"44","Metamorphosis Alpha™ 28mm Miniatures","28mm Miniatures for the First Science Fiction Role-Playing Game","84","$8,770 of $8,500 (103% funded)",2015-11-25,2015-12-25,"7 days, 8 hours, 2 minutes"
"45","Ballz2Go","Ballz2Go is the premier source for beer pong balls on a key chain! Have you ever been at a party and needed balls? Well never again!","1","$1 of $2,000 (0% funded)",2015-11-15,2015-12-25,"7 days, 10 hours, 56 minutes"
